feed_flow_m3_h,feed_temp_C,reflux_ratio_LD,reboiler_steam_t_h,top_pressure_bar_a,top_temp_C,bottoms_temp_C,purity_lab_pct_vv
12.0,86.61,2.55,2.72,1.152,78.11,102.19,94.34
12.18,87.31,3.37,2.14,1.171,78.34,102.23,94.59
11.84,87.02,3.67,2.42,1.201,78.58,103.0,94.94
11.47,83.54,3.03,2.21,1.144,78.14,102.04,94.88
11.73,88.2,2.85,2.15,1.148,78.18,101.67,94.06
11.41,84.27,3.52,2.29,1.171,78.38,102.92,95.18
12.04,83.5,2.57,2.28,1.157,78.0,102.24,94.51
12.8,84.66,3.68,2.65,1.205,78.45,103.36,95.22
11.7,85.76,2.37,2.25,1.154,77.96,101.48,93.88
11.63,87.57,2.95,1.53,1.135,77.88,101.08,93.37
12.29,87.37,2.36,2.49,1.14,78.04,101.41,93.68
12.21,85.95,2.7,1.88,1.139,77.95,101.57,93.92
12.06,88.05,2.64,1.6,1.13,77.75,101.17,93.13
11.44,86.18,3.3,2.16,1.164,78.3,102.15,94.6
11.98,87.97,3.32,2.97,1.176,78.42,103.31,94.74
12.42,82.91,3.12,2.12,1.171,78.08,101.9,95.14
11.19,82.54,2.42,2.67,1.148,78.22,102.39,94.91
11.73,87.71,3.28,2.91,1.189,78.54,103.21,94.86
10.86,82.94,2.42,1.58,1.126,77.89,100.9,93.94
11.23,85.34,3.61,2.59,1.171,78.48,103.57,95.34
10.89,85.78,2.35,2.78,1.156,78.1,101.54,94.47
11.86,84.93,2.29,2.64,1.151,78.18,101.97,94.3
11.24,85.0,3.09,2.79,1.172,78.38,102.92,95.04
12.16,89.06,2.35,3.14,1.174,78.27,102.43,93.85
12.09,80.43,3.43,2.06,1.158,78.17,102.37,95.48
11.89,87.94,3.77,2.61,1.211,78.56,103.64,94.85
10.49,91.05,3.35,2.69,1.189,78.24,102.84,94.31
11.68,86.05,2.53,3.04,1.158,78.34,102.41,94.72
11.97,85.96,3.23,1.9,1.129,77.96,102.41,94.38
12.07,87.6,2.8,1.76,1.151,78.02,101.64,93.86
11.08,90.02,2.89,3.28,1.186,78.37,103.34,94.47
11.71,83.39,2.81,2.21,1.152,78.16,102.11,94.81
11.41,86.19,3.48,1.65,1.143,78.31,101.97,94.25
11.51,85.59,2.39,2.84,1.144,78.17,102.14,94.18
12.64,87.23,2.41,2.6,1.134,78.02,101.91,94.21
11.52,86.35,3.51,2.51,1.202,78.57,103.04,95.03
11.98,87.45,2.33,1.87,1.146,77.81,100.92,93.42
12.53,85.07,3.06,3.22,1.18,78.43,102.93,95.01
11.65,86.11,3.25,2.75,1.196,78.52,102.94,95.28
11.93,84.53,3.15,2.09,1.138,77.94,102.19,94.75
12.07,84.54,3.17,1.52,1.148,77.86,101.45,94.04
12.04,85.69,2.86,2.96,1.181,78.27,102.99,95.03
11.26,85.69,2.53,2.67,1.149,78.12,102.22,94.53
12.05,83.42,3.35,1.78,1.148,77.96,102.21,94.62
12.82,89.45,3.57,1.94,1.152,78.31,102.41,94.05
11.07,85.7,3.74,2.12,1.172,78.43,102.71,94.8
12.52,82.96,3.18,3.21,1.201,78.55,103.57,95.67
12.07,88.42,3.51,2.37,1.183,78.34,103.03,94.56
11.62,84.35,2.51,2.61,1.159,78.02,101.95,94.81
13.2,87.12,3.14,1.62,1.154,78.04,101.35,93.59
12.46,85.96,2.81,3.16,1.16,78.37,103.33,94.99
11.28,86.55,3.04,1.83,1.166,78.09,101.58,94.16
12.04,86.38,3.23,2.32,1.164,78.35,102.55,94.91
12.35,84.73,3.66,2.38,1.164,78.42,102.86,95.11
11.89,86.09,2.24,1.79,1.122,77.62,100.91,93.58
12.41,90.47,2.48,3.21,1.165,78.27,103.07,93.92
11.96,81.08,2.77,2.13,1.149,78.17,102.2,95.19
12.4,86.15,3.76,1.87,1.168,78.3,102.17,94.43
12.86,86.96,3.2,3.21,1.165,78.67,103.09,95.0
11.59,83.69,3.66,1.79,1.173,78.04,101.47,94.88
12.12,82.99,2.95,1.95,1.165,78.05,101.91,94.67
11.72,90.75,3.32,1.94,1.146,78.15,102.51,93.61
12.08,85.18,2.48,1.99,1.152,77.8,101.39,93.96
11.29,90.57,2.41,2.79,1.17,78.13,102.1,93.84
11.65,87.18,2.65,2.22,1.158,78.13,101.96,94.14
11.88,86.17,2.64,2.18,1.163,78.09,101.48,94.33
12.54,87.05,2.69,2.14,1.132,78.0,101.86,94.09
12.69,87.4,3.33,1.81,1.16,78.15,102.32,94.08
11.21,88.6,3.3,2.13,1.151,78.32,102.62,94.3
11.52,86.96,2.35,1.72,1.15,77.71,101.05,93.26
12.39,86.32,3.64,1.58,1.144,78.16,101.9,94.16
10.8,86.39,2.64,3.05,1.158,78.42,102.63,94.72
11.72,88.97,2.33,1.88,1.141,77.79,100.82,93.18
11.94,87.8,2.63,3.0,1.175,78.42,103.1,94.26
12.75,83.8,2.39,3.2,1.169,78.3,102.92,94.83
12.41,84.6,2.39,2.52,1.151,78.17,101.82,94.37
11.8,86.73,3.44,2.51,1.181,78.47,102.87,94.83
11.78,84.63,3.01,2.29,1.176,78.21,102.26,94.96
11.85,85.17,2.6,3.29,1.169,78.38,102.77,94.76
12.91,83.9,2.85,2.65,1.159,78.21,102.58,95.0
11.74,85.42,3.13,3.23,1.182,78.56,103.53,95.28
11.82,86.93,2.59,1.78,1.133,77.91,101.3,93.75
12.21,88.19,3.64,2.42,1.178,78.54,103.0,94.59
11.93,86.02,3.23,2.63,1.16,78.36,102.19,94.99
11.88,90.56,3.45,3.01,1.192,78.6,103.43,94.51
11.33,85.83,3.32,1.51,1.132,78.15,101.28,93.83
11.99,93.03,3.54,1.58,1.149,78.13,101.51,92.73
11.73,88.2,3.57,1.5,1.148,78.13,102.42,93.43
12.7,87.09,3.44,2.65,1.177,78.57,102.93,94.92
12.39,84.9,2.24,2.86,1.17,78.16,102.03,94.38
11.99,79.79,3.13,1.72,1.162,78.06,101.59,94.95
12.4,85.66,3.6,2.56,1.191,78.52,102.91,95.05
11.8,86.39,2.94,3.2,1.198,78.47,103.57,94.89
12.63,90.23,2.53,1.82,1.13,77.79,100.71,93.01
12.0,82.96,3.63,1.79,1.174,78.09,102.37,94.89
12.35,90.19,3.51,1.88,1.159,78.18,102.09,94.01
11.23,85.45,3.5,2.23,1.171,78.41,102.95,94.88
12.21,87.59,3.19,2.59,1.174,78.43,102.94,94.67
10.99,80.41,2.83,2.43,1.145,78.32,102.2,95.47
10.78,86.31,3.24,1.75,1.143,78.15,101.44,94.14
11.82,85.24,2.53,1.91,1.134,77.86,101.47,93.91
11.46,87.5,2.83,2.89,1.174,78.22,102.95,94.58
12.1,86.2,3.03,2.07,1.151,78.08,102.12,94.35
13.35,83.49,3.43,1.85,1.148,78.15,102.05,94.79
11.5,88.08,3.33,2.86,1.171,78.42,103.34,94.82
11.63,87.53,2.36,2.53,1.149,78.15,101.62,93.89
12.12,87.31,3.15,3.25,1.177,78.5,103.5,95.1
12.3,88.22,2.68,2.33,1.139,78.15,102.0,93.91
11.89,88.42,3.7,1.73,1.159,78.27,102.21,94.01
11.88,85.95,3.64,2.16,1.172,78.2,102.44,95.05
12.42,83.01,2.75,3.29,1.172,78.42,103.03,95.24
12.31,82.95,2.82,1.95,1.126,78.12,101.4,94.78
11.38,88.97,2.53,2.75,1.162,78.27,101.95,94.2
11.95,87.56,3.22,1.93,1.162,78.14,102.26,94.2
12.02,86.22,2.99,2.02,1.146,78.0,101.83,94.14
11.37,85.04,3.54,2.14,1.164,78.24,102.44,95.1
12.16,86.07,3.19,3.14,1.163,78.54,103.23,95.11
11.49,86.05,2.58,3.21,1.183,78.48,102.93,94.65
12.58,85.26,2.98,2.65,1.157,78.34,102.5,95.04
12.12,84.46,2.64,2.75,1.169,78.23,102.17,94.77
12.05,90.76,3.36,2.57,1.169,78.41,102.94,94.33
11.65,86.5,3.58,2.35,1.173,78.44,102.88,94.82
11.93,84.67,2.22,3.14,1.161,78.1,102.16,94.55
10.8,83.14,3.11,2.61,1.152,78.25,102.4,95.29
11.32,84.4,3.16,1.57,1.17,77.99,101.85,94.15
12.22,87.58,2.66,1.66,1.117,77.97,101.05,93.32
10.72,87.67,3.24,3.04,1.186,78.6,103.59,94.84
12.51,85.52,3.26,2.96,1.175,78.43,103.37,95.18
10.95,86.11,2.73,1.56,1.129,77.86,101.06,93.6
12.45,85.33,2.86,1.8,1.155,77.92,101.42,94.13
11.49,83.56,2.69,1.93,1.122,77.94,101.86,94.59
12.47,88.86,2.49,2.74,1.157,78.2,102.02,93.96
12.08,86.82,3.16,2.98,1.186,78.44,103.04,94.73
11.08,91.45,3.77,1.93,1.168,78.25,102.36,93.77
12.75,84.34,3.1,3.25,1.191,78.45,103.35,95.33
12.87,85.7,3.02,1.55,1.131,77.81,101.13,93.89
11.96,87.94,2.4,2.06,1.121,77.91,101.35,93.7
11.84,85.46,3.31,2.52,1.159,78.38,102.46,95.14
