timestamp,feed_flow_m3_h,feed_temp_C,reflux_ratio_LD,reboiler_steam_t_h,top_pressure_bar_a,top_temp_C,bottoms_temp_C,purity_lab_pct_vv
06:00,11.9,85.3,3.0,2.41,1.16,78.2,102.5,94.7
06:07,11.9,85.2,2.99,2.39,1.16,78.3,101.9,
06:14,11.9,85.1,3.01,2.4,1.16,78.2,102.1,
06:21,12.0,85.3,3.01,2.39,1.17,78.2,102.2,
06:28,12.1,85.1,2.98,2.4,1.17,78.2,102.5,
06:35,11.9,85.1,2.99,2.41,1.16,78.2,102.3,
06:42,12.0,85.0,3.0,2.38,1.16,78.2,102.4,
06:49,12.0,85.0,3.0,2.4,1.17,78.2,102.1,
06:56,12.0,84.9,3.0,2.4,1.16,78.2,102.1,
07:03,12.1,85.1,2.99,2.39,1.17,78.3,102.4,94.7
07:10,12.0,84.8,3.01,2.39,1.16,78.2,102.3,
07:17,12.1,85.1,3.01,2.4,1.17,78.1,102.4,
07:24,12.0,85.0,3.0,2.39,1.16,78.3,102.3,
07:31,11.9,85.2,3.01,2.4,1.16,78.4,102.4,
07:38,12.0,85.1,3.0,2.4,1.17,78.2,102.3,
07:45,12.0,85.3,2.99,2.42,1.16,78.1,102.4,
07:52,12.0,85.1,3.0,2.4,1.16,78.2,102.4,
07:59,11.9,84.8,2.99,2.39,1.16,78.2,102.0,
08:06,12.0,85.0,3.01,2.4,1.16,78.2,102.0,94.8
08:13,12.0,84.8,3.0,2.4,1.15,78.2,102.5,
08:20,12.2,84.9,3.0,2.41,1.17,78.3,102.5,
08:27,12.2,85.2,2.99,2.41,1.16,78.3,102.2,
08:34,11.9,85.1,3.01,2.4,1.17,78.2,102.0,
08:41,12.0,84.9,3.0,2.41,1.15,78.3,102.3,
08:48,11.9,84.8,3.0,2.39,1.16,78.3,102.4,
08:55,12.0,85.0,3.0,2.39,1.15,78.2,102.6,
09:02,12.0,84.8,3.01,2.39,1.16,78.2,102.4,
09:09,12.1,84.9,3.0,2.4,1.16,78.2,102.2,94.9
09:16,11.9,85.0,3.0,2.39,1.16,78.3,102.2,
09:23,11.9,85.2,3.0,2.41,1.16,78.1,102.3,
09:30,11.8,85.1,3.02,2.4,1.16,78.2,102.3,
09:37,12.0,84.7,3.0,2.39,1.16,78.2,102.1,
09:44,11.9,85.0,2.99,2.39,1.15,78.3,102.6,
09:51,12.0,85.0,2.99,2.4,1.17,78.2,102.6,
09:58,11.9,85.1,3.01,2.41,1.17,78.3,102.5,
10:05,12.0,85.2,3.01,2.42,1.16,78.2,102.2,
